database	center	child	timepoint	bin	bin_name	gene	diff	type
resfinder	L	L18	7	1	L18_7_bin_001	aac(6')-Ii	Amikacin;Tobramycin	bin
resfinder	L	L18	7	1	L18_7_bin_001	tet(L)	Doxycycline;Tetracycline	bin
resfinder	L	L18	7	1	L18_7_bin_001	aph(3')-III	Amikacin	bin
resfinder	L	L18	7	1	L18_7_bin_001	erm(C)	Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S	bin
resfinder	L	L18	7	1	L18_7_bin_001	aac(6')-aph(2'')	Amikacin;Gentamicin;Tobramycin	bin
resfinder	L	L18	7	1	L18_7_bin_001	lsa(E)	Lincomycin;Clindamycin;Dalfopristin;Pristinamycin_IIA;Virginiamycin_M;Tiamulin	bin
resfinder	L	L18	7	1	L18_7_bin_001	lnu(B)	Lincomycin;Clindamycin	bin
resfinder	L	L18	7	1	L18_7_bin_001	ant(6)-Ia	Streptomycin	bin
resfinder	L	L18	7	contig	L18_7_contig	fosB		contig
resfinder	L	L18	7	contig	L18-7_contig	fosB		contig
